,st_id,pr_sku_id,st_id_encoded,pr_sku_id_encoded,st_sku_interaction,pr_cluster_label,st_cluster_label,pr_uom_id
72,1ecfb463472ec9115b10c292ef8bc986,6b1344097385a42484abd4746371e416,2,795,1173,4,1,17
73,c81e728d9d4c2f636f067f89cc14862c,34135e94bed7ccf569ebee6901e5f716,7,358,3969,4,0,17
74,c81e728d9d4c2f636f067f89cc14862c,40c651c778ea5ff2c54b164483dbae9c,7,455,4034,6,0,1
75,c81e728d9d4c2f636f067f89cc14862c,4a04104f09c6ea3e807666cce0c294d5,7,530,4076,5,0,1
76,6364d3f0f495b6ab9dcf8d3b5c6e0b01,1fabe5ffaf79b73352abea5d0beef23e,5,219,2817,4,0,17
77,fa7cdfad1a5aaf8370ebeda47a1ff1c3,b75c7cbf7accdaea8a1a14781bb29870,9,1405,5495,4,0,1
78,16a5cdae362b8d27a1d8f8c7b78b4330,00661699f543753ec7e911a64b9fd2f6,1,4,613,4,0,1
79,6364d3f0f495b6ab9dcf8d3b5c6e0b01,dc57ae67a89ed3b85f394f5ca5b9ba1d,5,1704,2678,6,0,1
80,c81e728d9d4c2f636f067f89cc14862c,5fb6bfa7b7d9a415d5f95d3951e2a35d,7,705,4189,1,0,1
81,c81e728d9d4c2f636f067f89cc14862c,5f86639bbaacbed711e89635b602cc75,7,702,4187,0,0,17
82,c81e728d9d4c2f636f067f89cc14862c,43381fb2e43baebe00b83506caa61c25,7,479,4046,8,0,1
83,42a0e188f5033bc65bf8d78622277c4e,61fb649aa593cc342d4e8943288041f7,3,722,2062,8,0,1
84,fa7cdfad1a5aaf8370ebeda47a1ff1c3,27a79eaf8d74a68777299f3a514ea51f,9,272,5781,0,0,1
85,fa7cdfad1a5aaf8370ebeda47a1ff1c3,3affcbb957032e3cd1c0c3f8526e5de8,9,407,5840,2,0,1
86,f7e6c85504ce6e82442c770f7c8606f0,0a2090e24b6ae62b0b0fcaa67a72b5a0,8,58,5089,2,0,1
87,6364d3f0f495b6ab9dcf8d3b5c6e0b01,6811c89c74a156baa50dcefedb2cc963,5,777,3103,4,0,1
88,6364d3f0f495b6ab9dcf8d3b5c6e0b01,eae84b730dd8eb884077f713b0264850,5,1811,2733,4,0,1
89,fa7cdfad1a5aaf8370ebeda47a1ff1c3,1b0251ccb8bd5f9ccf444e4bda7713e3,9,184,5693,0,0,1
90,6364d3f0f495b6ab9dcf8d3b5c6e0b01,8c5c2ef314a18fc5fecbaf99db704564,5,1049,2357,4,0,17
91,42a0e188f5033bc65bf8d78622277c4e,9b6ab33104c88f25698113226fbf8131,3,1164,1283,0,0,1
92,f7e6c85504ce6e82442c770f7c8606f0,89250c0d296660c427ed0d1d5059e8b7,8,1015,4389,6,0,17
93,16a5cdae362b8d27a1d8f8c7b78b4330,6b1344097385a42484abd4746371e416,1,795,838,4,0,17
94,42a0e188f5033bc65bf8d78622277c4e,3b862e98b075134ab0cb36bc638cb275,3,409,1882,0,0,17
95,6364d3f0f495b6ab9dcf8d3b5c6e0b01,3e5ed1845a499f1b16f1bc68d13e97fe,5,433,2930,0,0,1
96,42a0e188f5033bc65bf8d78622277c4e,f152516615efd05cf4b4903b03d4a45d,3,1870,1701,0,0,1
97,f7e6c85504ce6e82442c770f7c8606f0,5fcac87918c626bc3d53feeabec5a71c,8,706,5161,2,0,1
99,f7e6c85504ce6e82442c770f7c8606f0,2bd31c7c54bbd12554730ae254c428b1,8,305,4933,0,0,17
100,c81e728d9d4c2f636f067f89cc14862c,889d968e5ef1f225fa540075e21f5426,7,1006,3314,0,0,1
101,fa7cdfad1a5aaf8370ebeda47a1ff1c3,6f14138e00dfafe64dd7d51ac3d0d792,9,827,6052,0,0,17
102,c81e728d9d4c2f636f067f89cc14862c,fdf58d7c27d732d8645e60f9106975e3,7,1961,3873,6,0,17
103,c81e728d9d4c2f636f067f89cc14862c,58ebafabd92e2e3a80d86b7bb7e88eda,7,638,4140,4,0,1
104,f7e6c85504ce6e82442c770f7c8606f0,3e5ed1845a499f1b16f1bc68d13e97fe,8,433,5002,0,0,1
105,f7e6c85504ce6e82442c770f7c8606f0,e4522fed8db6c62127eedea2fe1634bd,8,1759,4762,4,0,17
106,42a0e188f5033bc65bf8d78622277c4e,e4522fed8db6c62127eedea2fe1634bd,3,1759,1629,4,0,17
107,16a5cdae362b8d27a1d8f8c7b78b4330,1ef67b3830faf45363d2da935c604d7a,1,212,527,0,0,17
108,42a0e188f5033bc65bf8d78622277c4e,4f8b4c73b1712622d6f05c02cda05d49,3,579,1975,8,0,1
109,6364d3f0f495b6ab9dcf8d3b5c6e0b01,ced0c1a84924c982a6403870c54b99ca,5,1604,2624,9,0,17
110,16a5cdae362b8d27a1d8f8c7b78b4330,6f14138e00dfafe64dd7d51ac3d0d792,1,827,862,0,0,17
111,f7e6c85504ce6e82442c770f7c8606f0,c82dccf4ccf7017ba622a86f5dcbc736,8,1547,4654,2,0,1
112,16a5cdae362b8d27a1d8f8c7b78b4330,6eb4a5048e9eca0796db5167fc641b17,1,824,859,8,0,1
113,42a0e188f5033bc65bf8d78622277c4e,a1f93a1aeb02759147d69276c70217db,3,1221,1315,0,0,1
114,c81e728d9d4c2f636f067f89cc14862c,00b72c2f01a1512cbb1d3f33319bac93,7,7,4185,4,0,17
115,16a5cdae362b8d27a1d8f8c7b78b4330,421b0ea70ab7fd681ae63a8f12695199,1,468,654,4,0,1
116,1ecfb463472ec9115b10c292ef8bc986,ced0c1a84924c982a6403870c54b99ca,2,1604,1039,9,1,17
117,6364d3f0f495b6ab9dcf8d3b5c6e0b01,cfb54b1ce12bb3f9b6b9e2ea0b57414b,5,1613,2628,4,0,1
118,6364d3f0f495b6ab9dcf8d3b5c6e0b01,5a106bc85bf017f97a9afcda66b93f01,5,645,3030,4,0,1
119,16a5cdae362b8d27a1d8f8c7b78b4330,6acd770d2042d736881ec41af8740cc2,1,794,837,4,0,17
120,c81e728d9d4c2f636f067f89cc14862c,8a1989b9fe49cb45e85c099107fbe1a6,7,1023,3325,0,0,1
121,c81e728d9d4c2f636f067f89cc14862c,b749c085963d0f869dce2755f8ba602a,7,1404,3543,1,0,1
122,fa7cdfad1a5aaf8370ebeda47a1ff1c3,6d8bf88f6daf3b37de081afcf75ec6cf,9,812,6042,9,0,17
123,f7e6c85504ce6e82442c770f7c8606f0,517b5edeb76505d48bb945abce481959,8,587,5092,2,0,1
124,fa7cdfad1a5aaf8370ebeda47a1ff1c3,3775e29ab7a50a69c73aad30f19661e4,9,380,5827,0,0,1
125,f7e6c85504ce6e82442c770f7c8606f0,d2de88fc7856a5f50c05e8d9b7a20838,8,1639,4698,4,0,1
126,f7e6c85504ce6e82442c770f7c8606f0,bd78bd39035162d425a5c8ac8b088fc6,8,1451,4607,0,0,1
127,c81e728d9d4c2f636f067f89cc14862c,6d8bf88f6daf3b37de081afcf75ec6cf,7,812,4262,9,0,17
128,16a5cdae362b8d27a1d8f8c7b78b4330,d185c5ed37536ac0063f735f7a15dd24,1,1630,326,1,0,1
129,c81e728d9d4c2f636f067f89cc14862c,2c6c2e0fb9a48b16ea6aecc7cdcf8af8,7,311,3945,4,0,17
130,c81e728d9d4c2f636f067f89cc14862c,a3f2130d312ab153ba470886115ea2ee,7,1240,3443,4,0,1
131,16a5cdae362b8d27a1d8f8c7b78b4330,a3f2130d312ab153ba470886115ea2ee,1,1240,119,4,0,1
132,c81e728d9d4c2f636f067f89cc14862c,c9e714c81da7ecdd890da9eb6689d389,7,1562,3625,0,0,1
133,f7e6c85504ce6e82442c770f7c8606f0,050a8120e2a3b8751df8752fcc0323ef,8,32,4943,8,0,1
134,fa7cdfad1a5aaf8370ebeda47a1ff1c3,e9397d3a0170e180e934044c6d26d594,9,1796,5665,0,0,1
135,16a5cdae362b8d27a1d8f8c7b78b4330,771d9ed245872c553b1472e9f43e1860,1,889,897,0,0,17
136,c81e728d9d4c2f636f067f89cc14862c,62d4af457ba2540ce0898a211c0cd17a,7,730,4201,9,0,17
137,42a0e188f5033bc65bf8d78622277c4e,6ce20ee0cd25f2265f9c839747f3f60a,3,806,2110,4,0,17
138,42a0e188f5033bc65bf8d78622277c4e,7dd38bbf2b01bddc0a5bec20a4263c16,3,933,2181,4,0,17
139,c81e728d9d4c2f636f067f89cc14862c,7708533936cc9e00273ae5700d3bc8d5,7,886,4307,0,0,1
140,f7e6c85504ce6e82442c770f7c8606f0,568221292bd68ebdd821521ce60a8110,8,620,5111,6,0,1
141,c81e728d9d4c2f636f067f89cc14862c,5bb5f58ee78376e1d1806dd5cc25cfe1,7,662,4160,4,0,17
142,f7e6c85504ce6e82442c770f7c8606f0,989227df61226e27df95487219ecb7b2,8,1142,4455,0,0,1
143,c81e728d9d4c2f636f067f89cc14862c,4e824a65fbd01f1708131bd247842688,7,571,4104,5,0,1
144,fa7cdfad1a5aaf8370ebeda47a1ff1c3,566f6537c25d40d0b6adec07323e65e8,9,619,5941,4,0,17
145,42a0e188f5033bc65bf8d78622277c4e,0094042bfeae507dc7f62acc8e5ed03a,3,5,1931,1,0,1
146,16a5cdae362b8d27a1d8f8c7b78b4330,e4522fed8db6c62127eedea2fe1634bd,1,1759,395,4,0,17
147,fa7cdfad1a5aaf8370ebeda47a1ff1c3,17667b08596154dc5e9417f410cbced3,9,153,5538,4,0,1
148,f7e6c85504ce6e82442c770f7c8606f0,45cfa8c1e9a09769265224811e3bee5b,8,498,5041,0,0,1
149,f7e6c85504ce6e82442c770f7c8606f0,fdd0b49f7a05f53c0346aceeae35f532,8,1960,4869,8,0,1
150,fa7cdfad1a5aaf8370ebeda47a1ff1c3,d5285a5b153c43fa0028b6fb6965a3f0,9,1654,5598,4,0,1
151,c81e728d9d4c2f636f067f89cc14862c,5d560ea997068115892d2f0bd7cf91c3,7,679,4173,0,0,1
152,16a5cdae362b8d27a1d8f8c7b78b4330,c8bd18ea08d2f47cb0a7992f11ada9de,1,1553,283,2,0,1
153,16a5cdae362b8d27a1d8f8c7b78b4330,e85301469c72e1e53e88e8c0a1b54834,1,1790,411,0,0,1
154,c81e728d9d4c2f636f067f89cc14862c,c589e31f27f0ec50b30f1f31443ad0f1,7,1518,3604,0,0,1
155,42a0e188f5033bc65bf8d78622277c4e,a2f01e8907594a5cc33b21086a702036,3,1232,1320,4,0,1
156,6364d3f0f495b6ab9dcf8d3b5c6e0b01,bf5f373eede102c71bf77874c78bdc59,5,1467,2555,4,0,1
157,42a0e188f5033bc65bf8d78622277c4e,9d4d76311ae2c0cbc4b1eb53c447bed7,3,1178,1291,9,0,17
158,1ecfb463472ec9115b10c292ef8bc986,7ba4a825a1cbe5e122d6b5ee206b4a85,2,916,1197,1,1,1
159,6364d3f0f495b6ab9dcf8d3b5c6e0b01,6e822618c30449cfabec9b22a7de1425,5,823,3129,4,0,1
160,16a5cdae362b8d27a1d8f8c7b78b4330,5b26f85ccb23039364226f66f0366c66,1,659,759,4,0,17
162,f7e6c85504ce6e82442c770f7c8606f0,2ceba8db8d0af7ba57e1572e839451c9,8,315,4940,4,0,1
163,c81e728d9d4c2f636f067f89cc14862c,dce1f234d6424aa61f8e7ce0baffd9af,7,1708,3712,4,0,1
164,16a5cdae362b8d27a1d8f8c7b78b4330,50246ace502699a00ce8f94e8fc3e37d,1,581,718,4,0,17
165,16a5cdae362b8d27a1d8f8c7b78b4330,d2de88fc7856a5f50c05e8d9b7a20838,1,1639,330,4,0,1
166,16a5cdae362b8d27a1d8f8c7b78b4330,2e463fcb1369be4d5dfbe87e04f60df2,1,324,574,0,0,1
167,1ecfb463472ec9115b10c292ef8bc986,4cbdf8b7992ce95ea95bee76db0c7156,2,553,1138,0,1,17
168,16a5cdae362b8d27a1d8f8c7b78b4330,f9913de6246f7b1d28d51261c268f0ae,1,1924,488,8,0,1
169,f7e6c85504ce6e82442c770f7c8606f0,033013f94a18c066e8b3d610bed34bee,8,21,4885,9,0,17
170,6364d3f0f495b6ab9dcf8d3b5c6e0b01,695078b902484f8edb56d01c0b906c8c,5,786,3110,0,0,17
171,fa7cdfad1a5aaf8370ebeda47a1ff1c3,8907813626e3a8936c6850398c4cf715,9,1013,5325,4,0,1
172,42a0e188f5033bc65bf8d78622277c4e,c0cf6ced8a0907dffe42e8102b51f6e6,3,1479,1455,6,0,1
173,c81e728d9d4c2f636f067f89cc14862c,6b9c5b757480af5e34f1fb6bb12ead6e,7,800,4251,0,0,17
174,fa7cdfad1a5aaf8370ebeda47a1ff1c3,21b4bc4c1913efa897d0743c1d890903,9,234,5764,6,0,1
175,16a5cdae362b8d27a1d8f8c7b78b4330,cec450400539c79f06aff1649043f170,1,1602,307,0,0,1
176,6364d3f0f495b6ab9dcf8d3b5c6e0b01,a4680e47cdf0ef37aeb19717a9d1968c,5,1243,2451,4,0,1
177,c81e728d9d4c2f636f067f89cc14862c,79122a5063b8a1261b8b1f03509ef957,7,897,4314,4,0,1
178,16a5cdae362b8d27a1d8f8c7b78b4330,23f70c32de93a01ccf59f9138a5baa3d,1,249,538,6,0,1
179,6364d3f0f495b6ab9dcf8d3b5c6e0b01,dfb085b0647b9ee8ce010670d1e30ab6,5,1733,2695,9,0,17
180,f7e6c85504ce6e82442c770f7c8606f0,699dc7822b719137e8124b728ab45fa3,8,788,5205,0,0,1
181,f7e6c85504ce6e82442c770f7c8606f0,27e8978c9e8b7146c462feb7d24f5637,8,274,4916,4,0,17
182,6364d3f0f495b6ab9dcf8d3b5c6e0b01,c24c65259d90ed4a19ab37b6fd6fe716,5,1491,2564,8,0,1
183,6364d3f0f495b6ab9dcf8d3b5c6e0b01,566f6537c25d40d0b6adec07323e65e8,5,619,3017,4,0,17
184,42a0e188f5033bc65bf8d78622277c4e,4ce0eb956648ab3ff6bb0afa3158cc42,3,555,1964,4,0,1
185,6364d3f0f495b6ab9dcf8d3b5c6e0b01,35071e7911b66b2f42bffca06f939598,5,364,2889,2,0,1
187,f7e6c85504ce6e82442c770f7c8606f0,9f01d1bae48b8dd9a155c83316a4943e,8,1193,4478,0,0,1
188,16a5cdae362b8d27a1d8f8c7b78b4330,5ca106c323e777ec8b42dbbab099932c,1,672,768,4,0,17
189,f7e6c85504ce6e82442c770f7c8606f0,b52d0d7b2ea2b2e89d4a2a2712e30c39,8,1384,4566,0,0,1
190,f7e6c85504ce6e82442c770f7c8606f0,5aa473479d8b5e4179d3ffbd2e5ef8f5,8,650,5128,2,0,1
191,f7e6c85504ce6e82442c770f7c8606f0,a08abd96f9e056ad8cf9db4ae5f5754a,8,1210,4486,0,0,1
192,c81e728d9d4c2f636f067f89cc14862c,2e463fcb1369be4d5dfbe87e04f60df2,7,324,3953,0,0,1
193,16a5cdae362b8d27a1d8f8c7b78b4330,db54d9d5b110c3a457bf89559b6f89a6,1,1698,360,4,0,17
194,6364d3f0f495b6ab9dcf8d3b5c6e0b01,225de5ef23fbfa96f02a8e1e8626ab66,5,238,2822,8,0,1
195,f7e6c85504ce6e82442c770f7c8606f0,3addd02ab3fac269e310080fa6d5a228,8,405,4989,0,0,1
196,42a0e188f5033bc65bf8d78622277c4e,ff62e7bffaca5e0ac8029cd29298c8c3,3,1971,1757,4,0,17
197,42a0e188f5033bc65bf8d78622277c4e,ec9ed18ae2a13fef709964af24bb60e6,3,1826,1677,0,0,1
198,42a0e188f5033bc65bf8d78622277c4e,6d8bf88f6daf3b37de081afcf75ec6cf,3,812,2114,9,0,17
199,c81e728d9d4c2f636f067f89cc14862c,e644b4306f7ecd4d5158ac0179db76a5,7,1775,3753,0,0,1
200,42a0e188f5033bc65bf8d78622277c4e,ce429dec957b9d6f3658eaa343fc40f0,3,1598,1528,0,0,17
201,c81e728d9d4c2f636f067f89cc14862c,de82161b6586ed690a1dfbd9d6e34139,7,1720,3719,4,0,17
202,fa7cdfad1a5aaf8370ebeda47a1ff1c3,525054066e1d6e94a6ad56078f4b212d,9,593,5933,4,0,17
203,16a5cdae362b8d27a1d8f8c7b78b4330,984866d32efb12f24c9ec497f3fad041,1,1140,71,0,0,17
204,42a0e188f5033bc65bf8d78622277c4e,a9e6d9a4ffe9ece67328c36bf09741bc,3,1290,1351,6,0,1
205,1ecfb463472ec9115b10c292ef8bc986,2cd30fcb577ef8c233ab42148444da2d,2,314,1111,4,1,17
206,f7e6c85504ce6e82442c770f7c8606f0,ae9aebfac21c0f936c47eb52ff16c32b,8,1338,4545,2,0,1
208,c81e728d9d4c2f636f067f89cc14862c,fdb89dfd1a27256904eb5a5734252102,7,1959,3870,0,0,1
209,16a5cdae362b8d27a1d8f8c7b78b4330,0e97d6e7124d6cc9623650201236cd52,1,90,904,4,0,17
210,42a0e188f5033bc65bf8d78622277c4e,e9e9c55a9acf6e9421db2863f2e4da2f,3,1805,1662,4,0,17
211,16a5cdae362b8d27a1d8f8c7b78b4330,194adbcaa46104c43d41ad4f23c18407,1,168,352,0,0,17
212,16a5cdae362b8d27a1d8f8c7b78b4330,acffb38162b43eaf0c33121934bc6138,1,1318,156,6,0,17
213,1ecfb463472ec9115b10c292ef8bc986,6515c664cc1b858a7357accc7833a451,2,753,1167,0,1,1
214,42a0e188f5033bc65bf8d78622277c4e,4e2b6b1dddc1ece38fbbaddad13c8e11,3,569,1970,0,0,17
215,c81e728d9d4c2f636f067f89cc14862c,e4522fed8db6c62127eedea2fe1634bd,7,1759,3746,4,0,17
216,42a0e188f5033bc65bf8d78622277c4e,c68cce0f709db5a976ee5324bbdaec98,3,1531,1483,6,0,1
217,16a5cdae362b8d27a1d8f8c7b78b4330,b75c7cbf7accdaea8a1a14781bb29870,1,1405,211,4,0,1
218,42a0e188f5033bc65bf8d78622277c4e,65ebd984baa08be2dcd09ff15c254fdb,3,762,2083,8,0,1
219,6364d3f0f495b6ab9dcf8d3b5c6e0b01,9113cd1280006c549b6f1d1f7ed98bac,5,1094,2380,4,0,17
220,c81e728d9d4c2f636f067f89cc14862c,5bc0e44accee3ad26b2a39c3b2bf91fc,7,663,4161,2,0,1
221,fa7cdfad1a5aaf8370ebeda47a1ff1c3,f234dc7b5cfe0d08f7e14557e2fa2e6a,9,1878,5713,0,0,1
222,16a5cdae362b8d27a1d8f8c7b78b4330,b7e2077a3d7fa0d30e0eb5ec7fa349e8,1,1409,214,4,0,1
223,16a5cdae362b8d27a1d8f8c7b78b4330,5e664d6988c6d6827cbaaafb0bc7f103,1,689,775,6,0,17
224,fa7cdfad1a5aaf8370ebeda47a1ff1c3,6157d6990d9a15027be2e356cccdc84d,9,714,5994,2,0,1
225,c81e728d9d4c2f636f067f89cc14862c,e18afd243d50032a8a36e3f1d5d99d53,7,1741,3735,2,0,1
226,fa7cdfad1a5aaf8370ebeda47a1ff1c3,b749c085963d0f869dce2755f8ba602a,9,1404,5494,1,0,1
227,42a0e188f5033bc65bf8d78622277c4e,934b890ffd6d0ba2a70f784634559afe,3,1108,1257,0,0,1
